/Vin (pulse_width=1.833333e-05) X,/Vin (pulse_width=1.833333e-05) Y,/Vin (pulse_width=1.666667e-05) X,/Vin (pulse_width=1.666667e-05) Y,/Vin (pulse_width=1.5e-05) X,/Vin (pulse_width=1.5e-05) Y,/Vin (pulse_width=1.333333e-05) X,/Vin (pulse_width=1.333333e-05) Y,/Vin (pulse_width=1.166667e-05) X,/Vin (pulse_width=1.166667e-05) Y,/Vin (pulse_width=1e-05) X,/Vin (pulse_width=1e-05) Y
0,0,0,0,0,0,0,0,0,0,0,0
2.01677010783581e-13,3.327670677929086e-07,2.01677010783581e-13,3.327670677929086e-07,2.01677010783581e-13,3.327670677929086e-07,2.01677010783581e-13,3.327670677929086e-07,2.01677010783581e-13,3.327670677929086e-07,2.01677010783581e-13,3.327670677929086e-07
3.65080898921834e-13,6.023834832210261e-07,3.65080898921834e-13,6.023834832210261e-07,3.65080898921834e-13,6.023834832210261e-07,3.65080898921834e-13,6.023834832210261e-07,3.65080898921834e-13,6.023834832210261e-07,3.65080898921834e-13,6.023834832210261e-07
6.9188867519834e-13,1.141616314077261e-06,6.9188867519834e-13,1.141616314077261e-06,6.9188867519834e-13,1.141616314077261e-06,6.9188867519834e-13,1.141616314077261e-06,6.9188867519834e-13,1.141616314077261e-06,6.9188867519834e-13,1.141616314077261e-06
1.173875463417961e-12,1.936894514639635e-06,1.173875463417961e-12,1.936894514639635e-06,1.173875463417961e-12,1.936894514639635e-06,1.173875463417961e-12,1.936894514639635e-06,1.173875463417961e-12,1.936894514639635e-06,1.173875463417961e-12,1.936894514639635e-06
1.729320092925245e-12,2.853378153326654e-06,1.729320092925245e-12,2.853378153326654e-06,1.729320092925245e-12,2.853378153326654e-06,1.729320092925245e-12,2.853378153326654e-06,1.729320092925245e-12,2.853378153326654e-06,1.729320092925245e-12,2.853378153326654e-06
2.384276551610528e-12,3.934056310157371e-06,2.384276551610528e-12,3.934056310157371e-06,2.384276551610528e-12,3.934056310157371e-06,2.384276551610528e-12,3.934056310157371e-06,2.384276551610528e-12,3.934056310157371e-06,2.384276551610528e-12,3.934056310157371e-06
3.213796304359504e-12,5.302763902193181e-06,3.213796304359504e-12,5.302763902193181e-06,3.213796304359504e-12,5.302763902193181e-06,3.213796304359504e-12,5.302763902193181e-06,3.213796304359504e-12,5.302763902193181e-06,3.213796304359504e-12,5.302763902193181e-06
4.301879918096386e-12,7.098101864859037e-06,4.301879918096386e-12,7.098101864859037e-06,4.301879918096386e-12,7.098101864859037e-06,4.301879918096386e-12,7.098101864859037e-06,4.301879918096386e-12,7.098101864859037e-06,4.301879918096386e-12,7.098101864859037e-06
5.753548604041017e-12,9.493355196667679e-06,5.753548604041017e-12,9.493355196667679e-06,5.753548604041017e-12,9.493355196667679e-06,5.753548604041017e-12,9.493355196667679e-06,5.753548604041017e-12,9.493355196667679e-06,5.753548604041017e-12,9.493355196667679e-06
