/Vpeak (pulse_width=1e-05) X,/Vpeak (pulse_width=1e-05) Y,/Vpeak (pulse_width=1.166667e-05) X,/Vpeak (pulse_width=1.166667e-05) Y,/Vpeak (pulse_width=1.5e-05) X,/Vpeak (pulse_width=1.5e-05) Y,/Vpeak (pulse_width=1.333333e-05) X,/Vpeak (pulse_width=1.333333e-05) Y,/Vpeak (pulse_width=1.666667e-05) X,/Vpeak (pulse_width=1.666667e-05) Y,/Vpeak (pulse_width=1.833333e-05) X,/Vpeak (pulse_width=1.833333e-05) Y
0,0,0,0,0,0,0,0,0,0,0,0
2.01677010783581e-13,1.572862540737575e-07,2.01677010783581e-13,1.572862540737575e-07,2.01677010783581e-13,1.572862540737575e-07,2.01677010783581e-13,1.572862540737575e-07,2.01677010783581e-13,1.572862540737575e-07,2.01677010783581e-13,1.572862540737575e-07
3.65080898921834e-13,2.833994847009459e-07,3.65080898921834e-13,2.833994847009459e-07,3.65080898921834e-13,2.833994847009459e-07,3.65080898921834e-13,2.833994847009459e-07,3.65080898921834e-13,2.833994847009459e-07,3.65080898921834e-13,2.833994847009459e-07
6.9188867519834e-13,5.327983673589971e-07,6.9188867519834e-13,5.327983673589971e-07,6.9188867519834e-13,5.327983673589971e-07,6.9188867519834e-13,5.327983673589971e-07,6.9188867519834e-13,5.327983673589971e-07,6.9188867519834e-13,5.327983673589971e-07
1.173875463417961e-12,8.955852084895415e-07,1.173875463417961e-12,8.955852084895415e-07,1.173875463417961e-12,8.955852084895415e-07,1.173875463417961e-12,8.955852084895415e-07,1.173875463417961e-12,8.955852084895415e-07,1.173875463417961e-12,8.955852084895415e-07
1.729320092925245e-12,1.308835740801276e-06,1.729320092925245e-12,1.308835740801276e-06,1.729320092925245e-12,1.308835740801276e-06,1.729320092925245e-12,1.308835740801276e-06,1.729320092925245e-12,1.308835740801276e-06,1.729320092925245e-12,1.308835740801276e-06
2.384276551610528e-12,1.792223074807452e-06,2.384276551610528e-12,1.792223074807452e-06,2.384276551610528e-12,1.792223074807452e-06,2.384276551610528e-12,1.792223074807452e-06,2.384276551610528e-12,1.792223074807452e-06,2.384276551610528e-12,1.792223074807452e-06
3.213796304359504e-12,2.401304433405375e-06,3.213796304359504e-12,2.401304433405375e-06,3.213796304359504e-12,2.401304433405375e-06,3.213796304359504e-12,2.401304433405375e-06,3.213796304359504e-12,2.401304433405375e-06,3.213796304359504e-12,2.401304433405375e-06
4.301879918096386e-12,3.198261758719131e-06,4.301879918096386e-12,3.198261758719131e-06,4.301879918096386e-12,3.198261758719131e-06,4.301879918096386e-12,3.198261758719131e-06,4.301879918096386e-12,3.198261758719131e-06,4.301879918096386e-12,3.198261758719131e-06
5.753548604041017e-12,4.261951995171636e-06,5.753548604041017e-12,4.261951995171636e-06,5.753548604041017e-12,4.261951995171636e-06,5.753548604041017e-12,4.261951995171636e-06,5.753548604041017e-12,4.261951995171636e-06,5.753548604041017e-12,4.261951995171636e-06
7.731740296400823e-12,5.716930752513375e-06,7.731740296400823e-12,5.716930752513375e-06,7.731740296400823e-12,5.716930752513375e-06,7.731740296400823e-12,5.716930752513375e-06,7.731740296400823e-12,5.716930752513375e-06,7.731740296400823e-12,5.716930752513375e-06
1.047998642064768e-11,7.754960017782325e-06,1.047998642064768e-11,7.754960017782325e-06,1.047998642064768e-11,7.754960017782325e-06,1.047998642064768e-11,7.754960017782325e-06,1.047998642064768e-11,7.754960017782325e-06,1.047998642064768e-11,7.754960017782325e-06
1.42761859349023e-11,1.061169084133486e-05,1.42761859349023e-11,1.061169084133486e-05,1.42761859349023e-11,1.061169084133486e-05,1.42761859349023e-11,1.061169084133486e-05,1.42761859349023e-11,1.061169084133486e-05,1.42761859349023e-11,1.061169084133486e-05
1.922629369473184e-11,1.442681932551826e-05,1.922629369473184e-11,1.442681932551826e-05,1.922629369473184e-11,1.442681932551826e-05,1.922629369473184e-11,1.442681932551826e-05,1.922629369473184e-11,1.442681932551826e-05,1.922629369473184e-11,1.442681932551826e-05
2.508076002812142e-11,1.910042617712507e-05,2.508076002812142e-11,1.910042617712507e-05,2.508076002812142e-11,1.910042617712507e-05,2.508076002812142e-11,1.910042617712507e-05,2.508076002812142e-11,1.910042617712507e-05,2.508076002812142e-11,1.910042617712507e-05
3.152237359920554e-11,2.448534371748707e-05,3.152237359920554e-11,2.448534371748707e-05,3.152237359920554e-11,2.448534371748707e-05,3.152237359920554e-11,2.448534371748707e-05,3.152237359920554e-11,2.448534371748707e-05,3.152237359920554e-11,2.448534371748707e-05
3.854717650183845e-11,3.068989778273562e-05,3.854717650183845e-11,3.068989778273562e-05,3.854717650183845e-11,3.068989778273562e-05,3.854717650183845e-11,3.068989778273562e-05,3.854717650183845e-11,3.068989778273562e-05,3.854717650183845e-11,3.068989778273562e-05
4.66061135959592e-11,3.82663044919424e-05,4.66061135959592e-11,3.82663044919424e-05,4.66061135959592e-11,3.82663044919424e-05,4.66061135959592e-11,3.82663044919424e-05,4.66061135959592e-11,3.82663044919424e-05,4.66061135959592e-11,3.82663044919424e-05
5.722946935086522e-11,4.899245887100708e-05,5.722946935086522e-11,4.899245887100708e-05,5.722946935086522e-11,4.899245887100708e-05,5.722946935086522e-11,4.899245887100708e-05,5.722946935086522e-11,4.899245887100708e-05,5.722946935086522e-11,4.899245887100708e-05
6.828792848958876e-11,6.095515346715392e-05,6.828792848958876e-11,6.095515346715392e-05,6.828792848958876e-11,6.095515346715392e-05,6.828792848958876e-11,6.095515346715392e-05,6.828792848958876e-11,6.095515346715392e-05,6.828792848958876e-11,6.095515346715392e-05
7.941806160741318e-11,7.366770552926065e-05,7.941806160741318e-11,7.366770552926065e-05,7.941806160741318e-11,7.366770552926065e-05,7.941806160741318e-11,7.366770552926065e-05,7.941806160741318e-11,7.366770552926065e-05,7.941806160741318e-11,7.366770552926065e-05
8.972101266419129e-11,8.591071825152141e-05,8.972101266419129e-11,8.591071825152141e-05,8.972101266419129e-11,8.591071825152141e-05,8.972101266419129e-11,8.591071825152141e-05,8.972101266419129e-11,8.591071825152141e-05,8.972101266419129e-11,8.591071825152141e-05
1.003066902114466e-10,9.886558972566154e-05,1.003066902114466e-10,9.886558972566154e-05,1.003066902114466e-10,9.886558972566154e-05,1.003066902114466e-10,9.886558972566154e-05,1.003066902114466e-10,9.886558972566154e-05,1.003066902114466e-10,9.886558972566154e-05
