/Vin (frequency=10055.56) X,/Vin (frequency=10055.56) Y,/Vin (frequency=11000) X,/Vin (frequency=11000) Y,/Vin (frequency=9111.111) X,/Vin (frequency=9111.111) Y,/Vin (frequency=8166.667) X,/Vin (frequency=8166.667) Y,/Vin (frequency=7222.222) X,/Vin (frequency=7222.222) Y,/Vin (frequency=6277.778) X,/Vin (frequency=6277.778) Y,/Vin (frequency=5333.333) X,/Vin (frequency=5333.333) Y,/Vin (frequency=4388.889) X,/Vin (frequency=4388.889) Y,/Vin (frequency=3444.444) X,/Vin (frequency=3444.444) Y,/Vin (frequency=2500) X,/Vin (frequency=2500) Y
0,1.65,0,1.65,0,1.65,0,1.65,0,1.65,0,1.65,0,1.65,0,1.65,0,1.65,0,1.65
2.554328917427625e-10,1.650001291078785,2.554328917427625e-10,1.650001412340328,2.554328917427625e-10,1.650001169817241,2.554328917427625e-10,1.650001048555698,2.554328917427625e-10,1.650000927294155,2.554328917427625e-10,1.650000806032611,2.554328917427625e-10,1.650000684771068,2.554328917427625e-10,1.650000563509525,2.554328917427625e-10,1.650000442247981,2.554328917427625e-10,1.650000320986438
4.42100055674813e-10,1.650002234583019,4.42100055674813e-10,1.650002444460982,4.42100055674813e-10,1.650002024705056,4.42100055674813e-10,1.650001814827093,4.42100055674813e-10,1.650001604949129,4.42100055674813e-10,1.650001395071166,4.42100055674813e-10,1.650001185193203,4.42100055674813e-10,1.65000097531524,4.42100055674813e-10,1.650000765437277,4.42100055674813e-10,1.650000555559314
8.15434383538914e-10,1.650004121591482,8.15434383538914e-10,1.650004508702284,8.15434383538914e-10,1.65000373448068,8.15434383538914e-10,1.650003347369878,8.15434383538914e-10,1.650002960259076,8.15434383538914e-10,1.650002573148274,8.15434383538914e-10,1.650002186037472,8.15434383538914e-10,1.65000179892667,8.15434383538914e-10,1.650001411815867,8.15434383538914e-10,1.650001024705065
1.562103039267116e-09,1.650007895608388,1.562103039267116e-09,1.650008637184863,1.562103039267116e-09,1.650007154031911,1.562103039267116e-09,1.650006412455435,1.562103039267116e-09,1.650005670878957,1.562103039267116e-09,1.650004929302479,1.562103039267116e-09,1.650004187726001,1.562103039267116e-09,1.650003446149522,1.562103039267116e-09,1.650002704573043,1.562103039267116e-09,1.650001962996563
2.838007746895398e-09,1.650014344634789,2.838007746895398e-09,1.650015691920913,2.838007746895398e-09,1.650012997348661,2.838007746895398e-09,1.65001165006253,2.838007746895398e-09,1.650010302776395,2.838007746895398e-09,1.650008955490257,2.838007746895398e-09,1.650007608204116,2.838007746895398e-09,1.650006260917974,2.838007746896043e-09,1.65000491363183,2.838007746896043e-09,1.650003566345684
5.389817162151963e-09,1.650027242687123,5.389817162151963e-09,1.65002980139243,5.389817162151963e-09,1.650024683981788,5.389817162151963e-09,1.650022125276428,5.389817162151963e-09,1.650019566571045,5.389817162151963e-09,1.650017007865642,5.389817162151963e-09,1.650014449160222,5.389817162151963e-09,1.650011890454787,5.389817162153896e-09,1.650009331749339,5.389817162153896e-09,1.650006773043883
1.049343599266509e-08,1.650053038788738,1.049343599266509e-08,1.650058020331596,1.049343599266509e-08,1.650048057245675,1.049343599266509e-08,1.650043075702425,1.049343599266509e-08,1.650038094159008,1.049343599266509e-08,1.650033112615444,1.049343599266509e-08,1.650028131071751,1.049343599266509e-08,1.650023149527949,1.04934359926696e-08,1.650018167984057,1.04934359926696e-08,1.650013186440095
1.620482821141612e-08,1.650081906856698,1.620482821141612e-08,1.650089599762812,1.620482821141612e-08,1.650074213949827,1.620482821141612e-08,1.650066521042269,1.620482821141612e-08,1.650058828134096,1.620482821141612e-08,1.650051135225379,1.620482821141612e-08,1.65004344231619,1.620482821141612e-08,1.650035749406598,1.620482821142516e-08,1.650028056496676,1.620482821142516e-08,1.650020363586495
2.262203232247169e-08,1.650114342416511,2.262203232247169e-08,1.650125081751123,2.262203232247169e-08,1.650103603079839,2.262203232247169e-08,1.650092863741299,2.262203232247169e-08,1.650082124401087,2.262203232247169e-08,1.650071385059394,2.262203232247169e-08,1.650060645716415,2.262203232247169e-08,1.650049906372342,2.262203232248169e-08,1.650039167027371,2.262203232248169e-08,1.650028427681694
