/Vpeak (frequency=2500) X,/Vpeak (frequency=2500) Y,/Vpeak (frequency=3444.444) X,/Vpeak (frequency=3444.444) Y,/Vpeak (frequency=4388.889) X,/Vpeak (frequency=4388.889) Y,/Vpeak (frequency=5333.333) X,/Vpeak (frequency=5333.333) Y,/Vpeak (frequency=6277.778) X,/Vpeak (frequency=6277.778) Y,/Vpeak (frequency=8166.667) X,/Vpeak (frequency=8166.667) Y,/Vpeak (frequency=7222.222) X,/Vpeak (frequency=7222.222) Y,/Vpeak (frequency=9111.111) X,/Vpeak (frequency=9111.111) Y,/Vpeak (frequency=10055.56) X,/Vpeak (frequency=10055.56) Y,/Vpeak (frequency=11000) X,/Vpeak (frequency=11000) Y
0,5.92395124332165e-05,0,5.923951243321651e-05,0,5.92395124332165e-05,0,5.92395124332165e-05,0,5.92395124332165e-05,0,5.92395124332165e-05,0,5.92395124332165e-05,0,5.92395124332165e-05,0,5.92395124332165e-05,0,5.92395124332165e-05
2.554328917427625e-10,0.002320000069953802,2.554328917427625e-10,0.002320000069953802,2.554328917427625e-10,0.002320000069953802,2.554328917427625e-10,0.002320000069953802,2.554328917427625e-10,0.002320000069953802,2.554328917427625e-10,0.002320000069953802,2.554328917427625e-10,0.002320000069953802,2.554328917427625e-10,0.002320000069953802,2.554328917427625e-10,0.002320000069953802,2.554328917427625e-10,0.002320000069953802
4.42100055674813e-10,0.003968616971764039,4.42100055674813e-10,0.003968616971764039,4.42100055674813e-10,0.003968616971764039,4.42100055674813e-10,0.003968616971764039,4.42100055674813e-10,0.003968616971764039,4.42100055674813e-10,0.003968616971764039,4.42100055674813e-10,0.003968616971764039,4.42100055674813e-10,0.003968616971764039,4.42100055674813e-10,0.003968616971764039,4.42100055674813e-10,0.003968616971764039
8.15434383538914e-10,0.007257731763932418,8.15434383538914e-10,0.007257731763932418,8.15434383538914e-10,0.007257731763932419,8.15434383538914e-10,0.007257731763932419,8.15434383538914e-10,0.007257731763932419,8.15434383538914e-10,0.007257731763932419,8.15434383538914e-10,0.007257731763932419,8.15434383538914e-10,0.007257731763932419,8.15434383538914e-10,0.007257731763932419,8.15434383538914e-10,0.007257731763932419
1.562103039267116e-09,0.0137977596197228,1.562103039267116e-09,0.0137977596197228,1.562103039267116e-09,0.01379775961972279,1.562103039267116e-09,0.01379775961972279,1.562103039267116e-09,0.01379775961972279,1.562103039267116e-09,0.01379775961972279,1.562103039267116e-09,0.01379775961972279,1.562103039267116e-09,0.01379775961972279,1.562103039267116e-09,0.01379775961972279,1.562103039267116e-09,0.01379775961972279
2.838007746896043e-09,0.02485354505748757,2.838007746896043e-09,0.02485354505748757,2.838007746895398e-09,0.02485354505748203,2.838007746895398e-09,0.02485354505748203,2.838007746895398e-09,0.02485354505748203,2.838007746895398e-09,0.02485354505748203,2.838007746895398e-09,0.02485354505748203,2.838007746895398e-09,0.02485354505748203,2.838007746895398e-09,0.02485354505748203,2.838007746895398e-09,0.02485354505748203
5.389817162153896e-09,0.04652006158356695,5.389817162153896e-09,0.04652006158356695,5.389817162151963e-09,0.04652006158355075,5.389817162151963e-09,0.04652006158355075,5.389817162151963e-09,0.04652006158355075,5.389817162151963e-09,0.04652006158355075,5.389817162151963e-09,0.04652006158355075,5.389817162151963e-09,0.04652006158355075,5.389817162151963e-09,0.04652006158355075,5.389817162151963e-09,0.04652006158355075
1.04934359926696e-08,0.08815695709948626,1.04934359926696e-08,0.08815695709948626,1.049343599266509e-08,0.08815695709945047,1.049343599266509e-08,0.08815695709945047,1.049343599266509e-08,0.08815695709945047,1.049343599266509e-08,0.08815695709945047,1.049343599266509e-08,0.08815695709945047,1.049343599266509e-08,0.08815695709945047,1.049343599266509e-08,0.08815695709945047,1.049343599266509e-08,0.08815695709945047
1.620482821142516e-08,0.1322317160817081,1.620482821142516e-08,0.1322317160817081,1.620482821141612e-08,0.1322317160816404,1.620482821141612e-08,0.1322317160816404,1.620482821141612e-08,0.1322317160816404,1.620482821141612e-08,0.1322317160816404,1.620482821141612e-08,0.1322317160816404,1.620482821141612e-08,0.1322317160816404,1.620482821141612e-08,0.1322317160816404,1.620482821141612e-08,0.1322317160816404
2.262203232248169e-08,0.1788162538368118,2.262203232248169e-08,0.1788162538368118,2.262203232247169e-08,0.1788162538367414,2.262203232247169e-08,0.1788162538367414,2.262203232247169e-08,0.1788162538367414,2.262203232247169e-08,0.1788162538367414,2.262203232247169e-08,0.1788162538367414,2.262203232247169e-08,0.1788162538367414,2.262203232247169e-08,0.1788162538367414,2.262203232247169e-08,0.1788162538367414
