/Vpeak (frequency=7777.778) X,/Vpeak (frequency=7777.778) Y,/Vin (frequency=7777.778) X,/Vin (frequency=7777.778) Y
0,1.649834342778162,0,1.65
1.953125e-10,1.649834663093323,1.953125e-10,1.650000763581548
5.859375000000001e-10,1.649835303620123,5.859375000000001e-10,1.650002290744643
1.3671875e-09,1.649836584456411,1.3671875e-09,1.65000534507083
2.9296875e-09,1.649839145759348,2.9296875e-09,1.650011453723177
6.0546875e-09,1.649844268338865,6.0546875e-09,1.650023671027635
1.23046875e-08,1.649854525041138,1.23046875e-08,1.650048105634609
2.48046875e-08,1.649875372366977,2.48046875e-08,1.650096974832815
3.112215614642924e-08,1.64988663846378,3.112215614642924e-08,1.650121673190388
3.773358611426905e-08,1.649899981425912,3.773358611426905e-08,1.650147520787242
4.342528855509482e-08,1.649913552676217,4.342528855509482e-08,1.650169772667686
4.85040883217405e-08,1.649927694121815,4.85040883217405e-08,1.65018962837581
5.435716170998733e-08,1.649946347521283,5.435716170998733e-08,1.650212511113501
5.728369840411075e-08,1.649956411741075,5.728369840411075e-08,1.650223952475943
6.19988379146693e-08,1.649973274411055,6.19988379146693e-08,1.650242386412453
6.723733737421393e-08,1.649992497441835,6.723733737421393e-08,1.650262866420493
7.251196635553275e-08,1.650012065756507,7.251196635553275e-08,1.650283487660141
7.887728901455017e-08,1.650035752760966,7.887728901455017e-08,1.65030837295757
8.733906423747943e-08,1.650067245737404,8.733906423747943e-08,1.650341454312247
1.005465106537113e-07,1.650116378440248,1.005465106537113e-07,1.650393088774577
1.269614034861752e-07,1.650214607889064,1.269614034861752e-07,1.650496357186456
1.786727214239786e-07,1.650406902286201,1.786727214239786e-07,1.650698518832991
2.501714157675483e-07,1.650673104779675,2.501714157675483e-07,1.650978030173147
3.231978959807794e-07,1.650946618061565,3.231978959807794e-07,1.651263501767607
3.756176113633623e-07,1.651145202171094,3.756176113633623e-07,1.651468408680376
4.179154619925368e-07,1.651307311619142,4.179154619925368e-07,1.65163374260089
4.649837572948032e-07,1.651489447593124,4.649837572948032e-07,1.651817715007678
5.084422479995717e-07,1.651658637056154,5.084422479995717e-07,1.651987569517862
5.504616675830758e-07,1.651822662436393,5.504616675830758e-07,1.652151791001513
5.943854821217684e-07,1.65199427798823,5.943854821217684e-07,1.65232344558462
6.471182176918164e-07,1.652200342517954,6.471182176918164e-07,1.652529511283481
7.198853287746385e-07,1.652484660552785,7.198853287746385e-07,1.652813838198402
8.413903634626076e-07,1.652959301327021,8.413903634626076e-07,1.653288520367106
1.084400432838546e-06,1.653908195588797,1.084400432838546e-06,1.654237520131972
1.260170703917368e-06,1.654594169648181,1.260170703917368e-06,1.654923571140963
1.611711246075013e-06,1.655964981709222,1.611711246075013e-06,1.656294532732306
2.112696965548556e-06,1.657915243683426,2.112696965548556e-06,1.658245001612022
2.813889271213584e-06,1.660636331160532,2.813889271213584e-06,1.660966367495473
3.025805184656112e-06,1.661448109359109,3.025805184656112e-06,1.661786437028484
3.18260184413277e-06,1.662044920257568,3.18260184413277e-06,1.662392398007528
3.496195163086087e-06,1.663227059684176,3.496195163086087e-06,1.663602101605026
3.78695474531472e-06,1.664309376814751,3.78695474531472e-06,1.664720874888201
4.307031826039611e-06,1.666213066792463,4.307031826039611e-06,1.66671444673212
5.013727639281778e-06,1.668736237558087,5.013727639281778e-06,1.66940582181949
5.774751067620449e-06,1.67137535717567,5.774751067620449e-06,1.672278126026089
6.601721556115131e-06,1.67415652546228,6.601721556115131e-06,1.675364272110722
7.495964578005502e-06,1.677068430720053,7.495964578005502e-06,1.678654706649797
8.441893691533755e-06,1.680047330975138,8.441893691533755e-06,1.682075643546257
9.438847047719162e-06,1.68308140686658,9.438847047719162e-06,1.685606793204078
1.049022695786212e-05,1.686171519362165,1.049022695786212e-05,1.689239008408812
1.159769352259192e-05,1.689312947973113,1.159769352259192e-05,1.692952807073745
1.2764131911024e-05,1.692504296168623,1.2764131911024e-05,1.696728152766918
1.39935760218268e-05,1.695746730944681,1.39935760218268e-05,1.700542879158688
1.529032637772415e-05,1.699041289421637,1.529032637772415e-05,1.704368532951058
1.6659101698082e-05,1.702389196586471,1.6659101698082e-05,1.708169591390636
1.81051654728302e-05,1.705792050641478,1.81051654728302e-05,1.711902320038066
1.963428133966089e-05,1.709251572442962,1.963428133966089e-05,1.715512927248081
2.125275048016913e-05,1.712769568905897,2.125275048016913e-05,1.718935789826148
2.296748483504746e-05,1.716347964793088,2.296748483504746e-05,1.722091584634808
2.478606953095261e-05,1.719988791784214,2.478606953095261e-05,1.724885251501203
2.671683632397147e-05,1.723694184812957,2.671683632397147e-05,1.727203933431005
2.871683632397147e-05,1.727372484210565,2.871683632397147e-05,1.728881345321496
2.921683632397147e-05,1.728267397422081,2.921683632397147e-05,1.729183520111053
2.946683632397147e-05,1.728711297346497,2.946683632397147e-05,1.729316889862339
2.959183632397147e-05,1.728932379215365,2.959183632397147e-05,1.729379136328351
2.965433632397147e-05,1.729042706162827,2.965433632397147e-05,1.729409148924619
2.968558632397147e-05,1.729094293495982,2.968558632397147e-05,1.729423877439942
2.97040558493157e-05,1.729106692086839,2.97040558493157e-05,1.729432495268864
2.970747289541743e-05,1.729108728725703,2.970747289541743e-05,1.729434082559622
2.971387073748418e-05,1.729112394267802,2.971387073748418e-05,1.729437048537453
2.972666642161768e-05,1.729119362205939,2.972666642161768e-05,1.72944295719678
2.974243041431155e-05,1.729127522167675,2.974243041431155e-05,1.729450193822205
2.976257481921436e-05,1.729137541858331,2.976257481921436e-05,1.729459372695401
2.978796718175456e-05,1.729149777060581,2.978796718175456e-05,1.729470833107707
2.982065603732296e-05,1.729165116823168,2.982065603732296e-05,1.729485406495354
2.986375926377675e-05,1.729184827467983,2.986375926377675e-05,1.729504312753848
2.992440306220741e-05,1.729211732717502,2.992440306220741e-05,1.72953031546863
3.001229471466054e-05,1.729249196165027,3.001229471466054e-05,1.72956676160113
3.012619730314052e-05,1.729295257916474,3.012619730314052e-05,1.729611809816332
3.026686138946278e-05,1.729348482092639,3.026686138946278e-05,1.729664037901774
3.044262114632952e-05,1.729409516711086,3.044262114632952e-05,1.729724006197129
3.066582501698887e-05,1.72947847279666,3.066582501698887e-05,1.72979168425218
3.083950944503456e-05,1.729525583159852,3.083950944503456e-05,1.729837779946822
3.118687830112593e-05,1.72960279662195,3.118687830112593e-05,1.72991271324291
3.156447831860898e-05,1.729661262771107,3.156447831860898e-05,1.72996804589604
3.191866263026399e-05,1.729692541454322,3.191866263026399e-05,1.729995198505873
3.221453892216116e-05,1.729702253435498,3.221453892216116e-05,1.729999509151013
3.243318568648474e-05,1.729701168030575,3.243318568648474e-05,1.729991948014671
3.258918452001064e-05,1.729696983637027,3.258918452001064e-05,1.729980970795881
3.275054659668487e-05,1.729690372105776,3.275054659668487e-05,1.729964725386032
3.291567636145468e-05,1.729681526778797,3.291567636145468e-05,1.729942952713131
3.300580236446737e-05,1.729675817932507,3.300580236446737e-05,1.729928873263712
3.318605437049277e-05,1.729662488654565,3.318605437049277e-05,1.729896063144102
3.326900457863226e-05,1.729655476766889,3.326900457863226e-05,1.729878881167073
3.343490499491124e-05,1.729639773549343,3.343490499491124e-05,1.729840579673981
3.351811980419879e-05,1.729631052588414,3.351811980419879e-05,1.729819391321764
3.36845494227739e-05,1.7296119193433,3.36845494227739e-05,1.729773054935545
3.376770975106309e-05,1.729601515677401,3.376770975106309e-05,1.729747924563316
3.393403040764149e-05,1.729579028575546,3.393403040764149e-05,1.729693712926275
3.401710370094766e-05,1.729566959694471,3.401710370094766e-05,1.729664663680001
3.418325028756e-05,1.729541154452216,3.418325028756e-05,1.729602626741759
3.423913125517975e-05,1.729531976308087,3.423913125517975e-05,1.729580581980648
3.435089319041925e-05,1.729512868377462,3.435089319041925e-05,1.72953471218977
3.440677415803899e-05,1.729502938768692,3.440677415803899e-05,1.729510887502081
3.442880628652819e-05,1.729498954955898,3.442880628652819e-05,1.729501331178399
3.444278106640447e-05,1.729497258780061,3.444278106640447e-05,1.729495221919016
3.445787119116225e-05,1.729497268024638,3.445787119116225e-05,1.729488583438429
3.446980112947488e-05,1.729497275293175,3.446980112947488e-05,1.729483304597391
3.447869114543129e-05,1.729497280697621,3.447869114543129e-05,1.729479353314919
3.449647117734411e-05,1.729497291491043,3.449647117734411e-05,1.729471405746688
3.453203124116976e-05,1.72949731302829,3.453203124116976e-05,1.729455330618142
3.460315136882106e-05,1.729497355915268,3.460315136882106e-05,1.729422460563574
3.474539162412365e-05,1.729497440956123,3.474539162412365e-05,1.729353842669453
3.502987213472883e-05,1.729497608182812,3.502987213472883e-05,1.729205107588792
3.559883315593919e-05,1.729497931755849,3.559883315593919e-05,1.728861744754358
3.673675519835992e-05,1.729498539181458,3.673675519835992e-05,1.727992439324661
3.873675519835992e-05,1.729499496522183,3.873675519835992e-05,1.725882306891325
4.073675519835992e-05,1.729500334400198,4.073675519835992e-05,1.723047862659493
4.273675519835992e-05,1.729501072402755,4.273675519835992e-05,1.719516161966349
4.473675519835992e-05,1.729501726661098,4.473675519835992e-05,1.715320915601478
4.673675519835992e-05,1.729502310028553,4.673675519835992e-05,1.710502168030634
4.873675519835992e-05,1.72950283271896,4.873675519835992e-05,1.705105915163305
5.073675519835993e-05,1.729503302917654,5.073675519835993e-05,1.699183665312557
5.273675519835993e-05,1.729503727263937,5.273675519835993e-05,1.692791947537881
5.473675519835993e-05,1.729504111211162,5.473675519835993e-05,1.685991772064011
5.673675519835993e-05,1.729504459292047,5.673675519835993e-05,1.678848047926128
5.873675519835993e-05,1.72950477531502,5.873675519835993e-05,1.671428963400132
6.073675519835993e-05,1.729505062511183,6.073675519835993e-05,1.66380533513191
6.273675519835993e-05,1.729505323645808,6.273675519835993e-05,1.656049932178286
6.473675519835993e-05,1.72950556110409,6.473675519835993e-05,1.648236781411813
6.673675519835992e-05,1.729505776957974,6.673675519835992e-05,1.640440460919473
6.873675519835992e-05,1.729505973018866,6.873675519835992e-05,1.632735388139911
7.073675519835991e-05,1.729506150879663,7.073675519835991e-05,1.625195109534104
7.273675519835991e-05,1.729506311948612,7.273675519835991e-05,1.617891598569673
7.47367551983599e-05,1.729506457476839,7.47367551983599e-05,1.610894568719742
7.673675519835989e-05,1.729506588580918,7.673675519835989e-05,1.604270808033888
7.873675519835989e-05,1.729506706261524,7.873675519835989e-05,1.598083541632851
8.073675519835988e-05,1.729506811418948,8.073675519835988e-05,1.592391828212106
8.273675519835988e-05,1.729506904866104,8.273675519835988e-05,1.587249996314804
8.473675519835987e-05,1.729506987339485,8.473675519835987e-05,1.582707125754959
8.673675519835987e-05,1.72950705950846,8.673675519835987e-05,1.578806579140802
8.873675519835986e-05,1.729507121983187,8.873675519835986e-05,1.575585587970018
9.073675519835985e-05,1.729507175321403,9.073675519835985e-05,1.573074897247646
9.273675519835985e-05,1.729507220034257,9.273675519835985e-05,1.571298472018862
9.473675519835984e-05,1.72950725659136,9.473675519835984e-05,1.570273268617823
9.673675519835984e-05,1.729507285425169,9.673675519835984e-05,1.57000907281607
9.873675519835983e-05,1.729507306934798,9.873675519835983e-05,1.570508406415379
0.0001007367551983598,1.729507321489362,0.0001007367551983598,1.571766503176662
0.0001027367551983598,1.729507329430911,0.0001027367551983598,1.573771354314665
0.0001047367551983598,1.729507331077005,0.0001047367551983598,1.576503823124234
0.0001067367551983598,1.729507326723002,0.0001067367551983598,1.579937827643988
0.0001087367551983598,1.729507316644073,0.0001087367551983598,1.58404058961386
0.0001107367551983598,1.729507301097006,0.0001107367551983598,1.588772947350147
0.0001127367551983598,1.729507280321799,0.0001127367551983598,1.594089729551613
0.0001147367551983598,1.729507254543099,0.0001147367551983598,1.599940186468593
0.0001167367551983598,1.729507223971472,0.0001167367551983598,1.606268474319513
0.0001187367551983598,1.729507188804567,0.0001187367551983598,1.613014188330948
0.0001207367551983598,1.729507149228138,0.0001207367551983598,1.62011293931327
0.0001227367551983598,1.729507105416987,0.0001227367551983598,1.627496968268344
0.0001247367551983598,1.729507057535804,0.0001247367551983598,1.635095793162722
0.0001267367551983598,1.729507005739931,0.0001267367551983598,1.642836881692744
0.0001287367551983597,1.729506950176056,0.0001287367551983597,1.650646343619893
0.0001307367551983597,1.729506890982841,0.0001307367551983597,1.658449636067898
0.0001327367551983597,1.729506828291501,0.0001327367551983597,1.666172275049401
0.0001347367551983597,1.729506762226321,0.0001347367551983597,1.673740546430514
0.0001367367551983597,1.72950669290514,0.0001367367551983597,1.681082209546976
0.0001387367551983597,1.729506620439784,0.0001387367551983597,1.688127186755741
0.0001407367551983597,1.729506544936471,0.0001407367551983597,1.6948082323401
0.0001427367551983597,1.729506466496178,0.0001427367551983597,1.701061574383497
0.0001447367551983597,1.729506385214977,0.0001447367551983597,1.706827523485234
0.0001467367551983597,1.729506301184352,0.0001467367551983597,1.712051042507735
0.0001487367551983597,1.729506214491482,0.0001487367551983597,1.716682271917036
0.0001507367551983597,1.729506125219506,0.0001507367551983597,1.720677005702011
0.0001527367551983597,1.729506033447773,0.0001527367551983597,1.723997113329591
0.0001547367551983597,1.729505939252064,0.0001547367551983597,1.726610903708329
0.0001567367551983597,1.729505842704802,0.0001567367551983597,1.728493427686206
0.0001569867551983597,1.729505830472106,0.0001569867551983597,1.728676353712343
0.0001574867551983597,1.729505805899913,0.0001574867551983597,1.729006950355812
0.0001577038223995838,1.729505795188189,0.0001577038223995838,1.729135800513237
0.0001581379568020321,1.729505773685362,0.0001581379568020321,1.72936677268692
0.0001582464904026442,1.729505768293153,0.0001582464904026442,1.729418937800381
0.00015831956886967,1.729505764658733,0.00015831956886967,1.729452803371748
0.0001583672561316024,1.729505762285491,0.0001583672561316024,1.729474355953184
0.0001584004727147055,1.729505760631661,0.0001584004727147055,1.72948911338981
0.0001584215769800553,1.729505759580574,0.0001584215769800553,1.72949838076406
0.0001584360041486937,1.729505758861895,0.0001584360041486937,1.729504667407958
0.0001584455467832749,1.729507030212333,0.0001584455467832749,1.729508803899268
0.0001584536165699436,1.729508485174015,0.0001584536165699436,1.729512288454319
0.0001584630056980406,1.729510171548484,0.0001584630056980406,1.729516327140553
0.0001584725589466844,1.729511880262551,0.0001584725589466844,1.729520419240056
0.0001584916654439721,1.729515276065747,0.0001584916654439721,1.729528551441822
0.0001585298784385473,1.729521981061786,0.0001585298784385473,1.729544607831662
0.0001586063044276979,1.729535044248169,0.0001586063044276979,1.729575888361863
0.0001587591564059989,1.72955978244296,0.0001587591564059989,1.729635118917472
0.0001588417552171029,1.729572379890202,0.0001588417552171029,1.729665277038644
0.0001590069528393107,1.729595951799015,0.0001590069528393107,1.729721698701552
0.0001590895019901144,1.729606919503684,0.0001590895019901144,1.729747945924615
0.0001592546002917217,1.729627232490881,0.0001592546002917217,1.729796546500483
0.0001593370421028173,1.729636565699621,0.0001593370421028173,1.729818870840402
0.0001595019257250085,1.72965361833218,0.0001595019257250085,1.729859632379816
0.0001595837412768361,1.729661284209959,0.0001595837412768361,1.729877933753553
0.0001597473723804913,1.729675065072254,0.0001597473723804913,1.729910705424062
0.0001598265578923075,1.729681018782647,0.0001598265578923075,1.729924729927055
0.0001599849289159401,1.729691641274429,0.0001599849289159401,1.729949188164777
0.0001600604006428958,1.729696151521579,0.0001600604006428958,1.729959158970775
0.0001602113440968074,1.729704250636235,0.0001602113440968074,1.729975837377187
0.0001602851347787438,1.729707784665376,0.0001602851347787438,1.729982407198678
0.0001604327161426167,1.729714030786879,0.0001604327161426167,1.729992426521844
0.0001605185519229494,1.729716994114508,0.0001605185519229494,1.729996340185321
0.0001606645135496817,1.729720375624932,0.0001606645135496817,1.729999763351567
0.0001608161221483009,1.729721249422169,0.0001608161221483009,1.729999009313467
0.000160983317794839,1.729719047289549,0.000160983317794839,1.729993085947484
0.0001610765911705689,1.729716507587001,0.0001610765911705689,1.729987460818384
