time (s),/Vpeak (V),/Vin (V)
0.000,1.650,1.650
5.859E-9,1.650,1.650
12.39E-9,1.650,1.650
25.46E-9,1.650,1.650
30.76E-9,1.650,1.650
36.24E-9,1.650,1.650
41.40E-9,1.650,1.650
46.30E-9,1.650,1.650
52.16E-9,1.650,1.650
54.18E-9,1.650,1.650
58.19E-9,1.650,1.650
63.17E-9,1.650,1.650
68.23E-9,1.650,1.650
74.35E-9,1.650,1.650
82.51E-9,1.650,1.650
95.10E-9,1.650,1.650
120.3E-9,1.650,1.651
169.7E-9,1.650,1.651
238.2E-9,1.651,1.651
305.9E-9,1.651,1.651
354.4E-9,1.651,1.651
394.0E-9,1.651,1.652
438.7E-9,1.652,1.652
496.4E-9,1.652,1.652
537.3E-9,1.652,1.652
579.9E-9,1.652,1.652
632.2E-9,1.652,1.653
708.3E-9,1.653,1.653
746.4E-9,1.653,1.653
822.4E-9,1.653,1.653
974.6E-9,1.654,1.654
1.279E-6,1.655,1.655
1.888E-6,1.657,1.658
2.506E-6,1.660,1.660
3.744E-6,1.665,1.666
6.218E-6,1.673,1.676
11.17E-6,1.689,1.694
17.17E-6,1.704,1.713
23.17E-6,1.718,1.725
29.17E-6,1.729,1.730
29.54E-6,1.730,1.730
29.59E-6,1.730,1.730
29.63E-6,1.730,1.730
29.66E-6,1.730,1.730
29.70E-6,1.730,1.730
29.74E-6,1.730,1.730
29.78E-6,1.730,1.730
29.84E-6,1.730,1.730
29.92E-6,1.730,1.730
30.03E-6,1.730,1.730
30.15E-6,1.730,1.730
30.30E-6,1.730,1.730
30.44E-6,1.730,1.730
30.58E-6,1.730,1.730
30.74E-6,1.730,1.730
30.94E-6,1.730,1.730
31.32E-6,1.730,1.730
31.71E-6,1.730,1.730
31.80E-6,1.730,1.730
31.99E-6,1.730,1.730
32.09E-6,1.730,1.730
32.13E-6,1.729,1.730
32.15E-6,1.729,1.729
32.16E-6,1.729,1.729
32.17E-6,1.729,1.729
32.18E-6,1.729,1.729
32.19E-6,1.729,1.729
32.22E-6,1.729,1.729
32.28E-6,1.729,1.729
32.41E-6,1.729,1.729
32.65E-6,1.729,1.729
33.13E-6,1.729,1.729
34.09E-6,1.729,1.728
36.02E-6,1.729,1.726
39.88E-6,1.729,1.720
45.81E-6,1.730,1.704
51.81E-6,1.730,1.683
57.81E-6,1.730,1.659
63.81E-6,1.730,1.634
69.81E-6,1.730,1.611
75.81E-6,1.730,1.591
81.81E-6,1.730,1.577
87.81E-6,1.730,1.571
93.81E-6,1.730,1.572
99.81E-6,1.730,1.580
105.8E-6,1.730,1.596
111.8E-6,1.730,1.617
117.8E-6,1.730,1.641
123.8E-6,1.730,1.666
129.8E-6,1.730,1.689
135.8E-6,1.730,1.709
141.8E-6,1.730,1.723
147.8E-6,1.730,1.729
153.8E-6,1.730,1.728
159.8E-6,1.730,1.720
165.8E-6,1.730,1.704
171.8E-6,1.730,1.683
177.8E-6,1.730,1.659
183.8E-6,1.730,1.634
189.8E-6,1.730,1.611
195.8E-6,1.730,1.591
201.8E-6,1.730,1.577
207.8E-6,1.730,1.571
213.8E-6,1.730,1.572
219.8E-6,1.730,1.580
225.8E-6,1.730,1.596
231.8E-6,1.730,1.617
237.8E-6,1.730,1.641
243.8E-6,1.729,1.666
249.8E-6,1.729,1.689
255.8E-6,1.729,1.709
261.8E-6,1.729,1.723
267.8E-6,1.729,1.729
273.8E-6,1.729,1.728
279.8E-6,1.729,1.720
285.8E-6,1.729,1.704
291.8E-6,1.729,1.683
297.8E-6,1.729,1.659
303.8E-6,1.729,1.634
309.8E-6,1.729,1.611
315.8E-6,1.729,1.591
321.8E-6,1.729,1.577
327.8E-6,1.729,1.571
333.8E-6,1.729,1.572
339.8E-6,1.729,1.580
345.8E-6,1.729,1.596
351.8E-6,1.729,1.617
357.8E-6,1.729,1.641
363.8E-6,1.729,1.666
369.8E-6,1.729,1.689
375.8E-6,1.729,1.709
381.8E-6,1.729,1.723
387.8E-6,1.729,1.729
393.8E-6,1.729,1.728
398.4E-6,1.729,1.722
402.6E-6,1.729,1.713
408.5E-6,1.729,1.695
414.5E-6,1.729,1.673
420.5E-6,1.729,1.648
426.5E-6,1.729,1.623
432.5E-6,1.729,1.601
438.5E-6,1.729,1.584
444.5E-6,1.729,1.573
450.5E-6,1.729,1.570
456.5E-6,1.729,1.575
462.5E-6,1.729,1.587
468.5E-6,1.729,1.605
474.5E-6,1.729,1.627
480.5E-6,1.729,1.652
486.5E-6,1.729,1.677
492.5E-6,1.729,1.699
498.5E-6,1.729,1.716
504.5E-6,1.729,1.727
506.0E-6,1.729,1.728
506.8E-6,1.729,1.729
507.0E-6,1.729,1.729
507.3E-6,1.729,1.729
507.4E-6,1.729,1.729
507.6E-6,1.729,1.729
507.7E-6,1.729,1.729
507.8E-6,1.729,1.729
507.8E-6,1.729,1.729
507.8E-6,1.729,1.729
507.8E-6,1.729,1.729
507.8E-6,1.729,1.729
507.8E-6,1.729,1.730
507.9E-6,1.729,1.730
508.0E-6,1.730,1.730
508.1E-6,1.730,1.730
508.5E-6,1.730,1.730
508.7E-6,1.730,1.730
508.9E-6,1.730,1.730
509.0E-6,1.730,1.730
509.1E-6,1.730,1.730
509.3E-6,1.730,1.730
509.3E-6,1.730,1.730
509.4E-6,1.730,1.730
509.5E-6,1.730,1.730
509.6E-6,1.730,1.730
509.7E-6,1.730,1.730
509.8E-6,1.730,1.730
510.0E-6,1.730,1.730
510.1E-6,1.730,1.730
510.3E-6,1.730,1.730
510.5E-6,1.730,1.730
510.7E-6,1.730,1.730
510.8E-6,1.730,1.730
511.1E-6,1.730,1.730
511.4E-6,1.730,1.730
511.8E-6,1.730,1.730
512.0E-6,1.730,1.730
512.1E-6,1.730,1.730
512.1E-6,1.730,1.730
512.1E-6,1.730,1.730
512.1E-6,1.730,1.730
512.1E-6,1.730,1.730
512.1E-6,1.730,1.730
512.2E-6,1.730,1.729
512.3E-6,1.730,1.729
512.4E-6,1.730,1.729
512.8E-6,1.730,1.729
513.5E-6,1.730,1.729
514.9E-6,1.730,1.727
517.6E-6,1.730,1.724
523.2E-6,1.730,1.712
529.2E-6,1.730,1.693
535.2E-6,1.730,1.670
541.2E-6,1.730,1.645
547.2E-6,1.730,1.621
553.2E-6,1.730,1.599
559.2E-6,1.730,1.583
565.2E-6,1.730,1.573
571.2E-6,1.730,1.570
577.2E-6,1.730,1.576
583.2E-6,1.730,1.588
589.2E-6,1.730,1.607
595.2E-6,1.730,1.630
601.2E-6,1.730,1.655
607.2E-6,1.730,1.679
613.2E-6,1.730,1.701
619.2E-6,1.730,1.717
625.2E-6,1.730,1.727
626.7E-6,1.730,1.729
627.4E-6,1.730,1.729
627.8E-6,1.730,1.729
627.9E-6,1.730,1.730
627.9E-6,1.730,1.730
627.9E-6,1.730,1.730
628.0E-6,1.730,1.730
628.0E-6,1.730,1.730
628.0E-6,1.730,1.730
628.1E-6,1.730,1.730
628.2E-6,1.730,1.730
628.4E-6,1.730,1.730
628.9E-6,1.730,1.730
629.2E-6,1.730,1.730
629.4E-6,1.730,1.730
629.6E-6,1.730,1.730
629.8E-6,1.730,1.730
630.0E-6,1.730,1.730
630.2E-6,1.730,1.730
630.3E-6,1.730,1.730
630.5E-6,1.730,1.730
630.7E-6,1.730,1.730
630.8E-6,1.730,1.730
631.1E-6,1.730,1.730
631.4E-6,1.730,1.730
631.8E-6,1.730,1.730
632.0E-6,1.730,1.730
632.1E-6,1.730,1.730
632.1E-6,1.730,1.730
632.1E-6,1.730,1.730
632.1E-6,1.730,1.730
632.1E-6,1.730,1.730
632.1E-6,1.730,1.730
632.2E-6,1.730,1.730
632.3E-6,1.730,1.729
632.4E-6,1.730,1.729
632.8E-6,1.730,1.729
633.5E-6,1.730,1.729
634.9E-6,1.730,1.727
637.7E-6,1.730,1.724
643.3E-6,1.730,1.711
649.3E-6,1.730,1.693
655.3E-6,1.730,1.670
661.3E-6,1.730,1.645
667.3E-6,1.730,1.620
673.3E-6,1.730,1.599
679.3E-6,1.730,1.582
685.3E-6,1.730,1.572
691.3E-6,1.730,1.570
697.3E-6,1.730,1.576
703.3E-6,1.730,1.589
709.3E-6,1.730,1.607
715.3E-6,1.730,1.630
721.3E-6,1.730,1.655
727.3E-6,1.730,1.680
733.3E-6,1.730,1.701
739.3E-6,1.730,1.718
745.3E-6,1.730,1.728
746.0E-6,1.730,1.728
