time (s),/Vpeak (Cout=2.00e-11) (V),time (s),/Vpeak (Cout=2.77e-11) (V),time (s),/Vpeak (Cout=3.85e-11) (V),time (s),/Vpeak (Cout=5.34e-11) (V),time (s),/Vpeak (Cout=7.40e-11) (V),time (s),/Vpeak (Cout=1.42e-10) (V),time (s),/Vpeak (Cout=1.97e-10) (V),time (s),/Vpeak (Cout=2.74e-10) (V),time (s),/Vpeak (Cout=1.00e-08) (V),time (s),/Vpeak (Cout=7.21e-09) (V),time (s),/Vpeak (Cout=5.20e-09) (V),time (s),/Vpeak (Cout=3.75e-09) (V),time (s),/Vpeak (Cout=2.70e-09) (V),time (s),/Vpeak (Cout=1.95e-09) (V),time (s),/Vpeak (Cout=1.01e-09) (V),time (s),/Vpeak (Cout=1.41e-09) (V),time (s),/Vpeak (Cout=7.30e-10) (V),time (s),/Vpeak (Cout=3.80e-10) (V),time (s),/Vpeak (Cout=1.03e-10) (V),time (s),/Vpeak (Cout=5.27e-10) (V)
0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
264.1E-15,205.6E-9,241.8E-15,156.2E-9,156.8E-15,82.26E-9,145.8E-15,60.47E-9,138.2E-15,44.44E-9,128.7E-15,23.73E-9,125.8E-15,17.27E-9,123.7E-15,12.53E-9,118.4E-15,349.3E-12,118.5E-15,484.4E-12,118.6E-15,671.6E-12,118.7E-15,931.1E-12,118.8E-15,1.291E-9,119.0E-15,1.789E-9,119.7E-15,3.432E-9,119.3E-15,2.478E-9,120.3E-15,4.751E-9,122.2E-15,9.081E-9,133.2E-15,32.65E-9,121.1E-15,6.572E-9
455.2E-15,352.5E-9,413.1E-15,265.3E-9,283.6E-15,147.8E-9,262.6E-15,108.2E-9,248.0E-15,79.20E-9,229.8E-15,42.05E-9,224.3E-15,30.53E-9,220.3E-15,22.13E-9,210.2E-15,614.4E-12,210.3E-15,852.0E-12,210.5E-15,1.181E-9,210.7E-15,1.638E-9,211.0E-15,2.271E-9,211.4E-15,3.147E-9,212.7E-15,6.043E-9,211.9E-15,4.362E-9,213.8E-15,8.368E-9,217.4E-15,16.02E-9,238.2E-15,57.96E-9,215.3E-15,11.58E-9
837.4E-15,642.9E-9,755.7E-15,480.4E-9,537.1E-15,277.1E-9,496.2E-15,202.2E-9,467.7E-15,147.5E-9,432.0E-15,77.99E-9,421.2E-15,56.54E-9,413.4E-15,40.94E-9,393.7E-15,1.133E-9,393.9E-15,1.572E-9,394.2E-15,2.179E-9,394.7E-15,3.022E-9,395.2E-15,4.190E-9,396.0E-15,5.808E-9,398.7E-15,11.16E-9,397.1E-15,8.050E-9,400.8E-15,15.45E-9,407.8E-15,29.61E-9,448.2E-15,107.7E-9,403.7E-15,21.40E-9
1.344E-12,1.023E-6,1.227E-12,771.9E-9,958.3E-15,488.0E-9,910.8E-15,365.5E-9,887.3E-15,275.1E-9,836.6E-15,148.0E-9,815.2E-15,107.2E-9,799.7E-15,77.54E-9,760.8E-15,2.142E-9,761.2E-15,2.970E-9,761.8E-15,4.118E-9,762.6E-15,5.711E-9,763.8E-15,7.918E-9,765.3E-15,10.98E-9,770.5E-15,21.09E-9,767.5E-15,15.22E-9,774.7E-15,29.22E-9,788.6E-15,56.04E-9,868.2E-15,204.6E-9,780.5E-15,40.48E-9
1.928E-12,1.456E-6,1.780E-12,1.109E-6,1.462E-12,736.0E-9,1.417E-12,561.4E-9,1.411E-12,431.2E-9,1.419E-12,246.5E-9,1.439E-12,185.5E-9,1.445E-12,137.1E-9,1.357E-12,3.735E-9,1.358E-12,5.181E-9,1.359E-12,7.186E-9,1.361E-12,9.967E-9,1.363E-12,13.83E-9,1.367E-12,19.18E-9,1.379E-12,36.91E-9,1.372E-12,26.61E-9,1.388E-12,51.23E-9,1.419E-12,98.71E-9,1.420E-12,329.1E-9,1.401E-12,71.10E-9
2.632E-12,1.974E-6,2.454E-12,1.518E-6,2.065E-12,1.030E-6,2.031E-12,796.3E-9,2.056E-12,621.0E-9,2.171E-12,372.2E-9,2.233E-12,283.8E-9,2.225E-12,208.2E-9,2.077E-12,5.634E-9,2.078E-12,7.815E-9,2.081E-12,10.84E-9,2.084E-12,15.04E-9,2.088E-12,20.86E-9,2.094E-12,28.95E-9,2.114E-12,55.78E-9,2.102E-12,40.18E-9,2.129E-12,77.46E-9,2.182E-12,149.6E-9,2.112E-12,483.5E-9,2.152E-12,107.6E-9
3.536E-12,2.637E-6,3.334E-12,2.049E-6,2.852E-12,1.412E-6,2.847E-12,1.107E-6,2.930E-12,877.1E-9,3.207E-12,544.6E-9,3.249E-12,409.2E-9,3.214E-12,298.1E-9,2.991E-12,8.040E-9,2.994E-12,11.15E-9,2.997E-12,15.47E-9,3.002E-12,21.46E-9,3.008E-12,29.78E-9,3.017E-12,41.33E-9,3.046E-12,79.67E-9,3.029E-12,57.37E-9,3.070E-12,110.7E-9,3.150E-12,214.0E-9,3.069E-12,696.2E-9,3.103E-12,153.8E-9
4.728E-12,3.510E-6,4.519E-12,2.763E-6,3.927E-12,1.932E-6,3.990E-12,1.541E-6,4.192E-12,1.247E-6,4.645E-12,785.2E-9,4.662E-12,584.8E-9,4.601E-12,425.2E-9,4.271E-12,11.43E-9,4.275E-12,15.86E-9,4.280E-12,22.00E-9,4.287E-12,30.52E-9,4.296E-12,42.35E-9,4.309E-12,58.78E-9,4.353E-12,113.3E-9,4.327E-12,81.61E-9,4.388E-12,157.5E-9,4.506E-12,305.0E-9,4.492E-12,1.013E-6,4.437E-12,219.1E-9
6.329E-12,4.684E-6,6.145E-12,3.746E-6,5.425E-12,2.659E-6,5.628E-12,2.167E-6,6.057E-12,1.799E-6,6.673E-12,1.130E-6,6.687E-12,840.8E-9,6.597E-12,611.1E-9,6.102E-12,16.37E-9,6.107E-12,22.70E-9,6.114E-12,31.50E-9,6.125E-12,43.71E-9,6.139E-12,60.66E-9,6.159E-12,84.20E-9,6.224E-12,162.5E-9,6.186E-12,116.9E-9,6.277E-12,225.8E-9,6.453E-12,437.9E-9,6.524E-12,1.472E-6,6.351E-12,314.3E-9
8.528E-12,6.305E-6,8.423E-12,5.134E-6,7.555E-12,3.702E-6,8.015E-12,3.092E-6,8.804E-12,2.629E-6,9.474E-12,1.620E-6,9.467E-12,1.204E-6,9.319E-12,873.4E-9,8.590E-12,23.30E-9,8.598E-12,32.33E-9,8.609E-12,44.86E-9,8.624E-12,62.25E-9,8.645E-12,86.40E-9,8.674E-12,120.0E-9,8.770E-12,231.5E-9,8.714E-12,166.6E-9,8.848E-12,322.0E-9,9.107E-12,625.1E-9,9.322E-12,2.121E-6,8.956E-12,448.4E-9
11.59E-12,8.584E-6,11.63E-12,7.119E-6,10.61E-12,5.223E-6,11.47E-12,4.466E-6,12.44E-12,3.769E-6,12.95E-12,2.261E-6,12.84E-12,1.669E-6,12.60E-12,1.207E-6,11.59E-12,32.14E-9,11.60E-12,44.58E-9,11.61E-12,61.86E-9,11.63E-12,85.85E-9,11.66E-12,119.2E-9,11.70E-12,165.5E-9,11.84E-12,319.5E-9,11.76E-12,229.8E-9,11.94E-12,444.4E-9,12.30E-12,863.4E-9,12.89E-12,2.987E-6,12.09E-12,618.9E-9
